,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,matching_rules,extended_tweet,display_text_range,extended_entities,retweeted_status
0,Fri May 15 16:15:05 +0000 2020,1261329265716604929,1261329265716604929,Denmark had its first day without Covid-19 related deaths in two months https://t.co/ZbssUxJYXd,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,7,3,61,269,"{'hashtags': [], 'urls': [{'url': 'https://t.co/ZbssUxJYXd', 'expanded_url': 'https://trib.al/JrtAgLQ', 'display_url': 'trib.al/JrtAgLQ', 'indices': [72, 95]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
1,Fri May 15 16:14:05 +0000 2020,1261329012363853826,1261329012363853826,London's West End theater district is facing a crisis from which many in the business fear it might never fully rec… https://t.co/hLT5NIzzPY,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,2,6,17,40,"{'hashtags': [], 'urls': [{'url': 'https://t.co/hLT5NIzzPY', 'expanded_url': 'https://twitter.com/i/web/status/1261329012363853826', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': ""London's West End theater district is facing a crisis from which many in the business fear it might never fully recover https://t.co/a7vqdElmy0"", 'display_text_range': [0, 143], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/a7vqdElmy0', 'expanded_url': 'https://trib.al/mR5e1t1', 'display_url': 'trib.al/mR5e1t1', 'indices': [120, 143]}], 'user_mentions': [], 'symbols': []}}",,,
2,Fri May 15 16:12:03 +0000 2020,1261328500121915393,1261328500121915393,Bain Capital is planning to raise about $9 billion for its next flagship global buyout fund https://t.co/8M7DFaTJB9,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,2,3,18,31,"{'hashtags': [], 'urls': [{'url': 'https://t.co/8M7DFaTJB9', 'expanded_url': 'https://trib.al/rlFVCds', 'display_url': 'trib.al/rlFVCds', 'indices': [92, 115]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
3,Fri May 15 15:59:22 +0000 2020,1261325309502251009,1261325309502251009,Facebook buys Giphy for $400 million https://t.co/qAfTyelgmx,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,45,15,80,138,"{'hashtags': [], 'urls': [{'url': 'https://t.co/qAfTyelgmx', 'expanded_url': 'https://trib.al/vZXiuSD', 'display_url': 'trib.al/vZXiuSD', 'indices': [37, 60]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
4,Fri May 15 15:54:05 +0000 2020,1261323976971780096,1261323976971780096,New York State manufacturing remains in distress https://t.co/j9aGpjDkex https://t.co/easQOj54P8,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,0,3,12,35,"{'hashtags': [], 'urls': [{'url': 'https://t.co/j9aGpjDkex', 'expanded_url': 'https://trib.al/wwvaPHG', 'display_url': 'trib.al/wwvaPHG', 'indices': [49, 72]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1261323975130517504, 'id_str': '1261323975130517504', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/EYEfePxWkAAQyJD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EYEfePxWkAAQyJD.jpg', 'url': 'https://t.co/easQOj54P8', 'display_url': 'pic.twitter.com/easQOj54P8', 'expanded_url': 'https://twitter.com/business/status/1261323976971780096/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",False,False,False,low,en,[{'tag': None}],,"[0, 72]","{'media': [{'id': 1261323975130517504, 'id_str': '1261323975130517504', 'indices': [73, 96], 'media_url': 'http://pbs.twimg.com/media/EYEfePxWkAAQyJD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EYEfePxWkAAQyJD.jpg', 'url': 'https://t.co/easQOj54P8', 'display_url': 'pic.twitter.com/easQOj54P8', 'expanded_url': 'https://twitter.com/business/status/1261323976971780096/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]}",
5,Fri May 15 15:51:05 +0000 2020,1261323222181691393,1261323222181691393,"Sequential Brands, the parent company of brands like Jessica Simpson and Heelys, cast doubt on its ability to conti… https://t.co/UNf76suEYN","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,7,1,8,22,"{'hashtags': [], 'urls': [{'url': 'https://t.co/UNf76suEYN', 'expanded_url': 'https://twitter.com/i/web/status/1261323222181691393', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': 'Sequential Brands, the parent company of brands like Jessica Simpson and Heelys, cast doubt on its ability to continue as a going concern https://t.co/I9p063NbjS', 'display_text_range': [0, 161], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/I9p063NbjS', 'expanded_url': 'https://trib.al/x9TQVLH', 'display_url': 'trib.al/x9TQVLH', 'indices': [138, 161]}], 'user_mentions': [], 'symbols': []}}",,,
6,Fri May 15 15:48:05 +0000 2020,1261322467932504066,1261322467932504066,"NEWS: Beaches in New York, New Jersey, Connecticut and Delaware will all be open for Memorial Day — with restrictio… https://t.co/P2uy6Ht4ge","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",True,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,16,6,31,57,"{'hashtags': [], 'urls': [{'url': 'https://t.co/P2uy6Ht4ge', 'expanded_url': 'https://twitter.com/i/web/status/1261322467932504066', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],"{'full_text': 'NEWS: Beaches in New York, New Jersey, Connecticut and Delaware will all be open for Memorial Day — with restrictions https://t.co/EsMfOk6JQ5 https://t.co/C5ABnmt7of', 'display_text_range': [0, 141], 'entities': {'hashtags': [], 'urls': [{'url': 'https://t.co/EsMfOk6JQ5', 'expanded_url': 'https://trib.al/uhYPTdc', 'display_url': 'trib.al/uhYPTdc', 'indices': [118, 141]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1261322465944440833, 'id_str': '1261322465944440833', 'indices': [142, 165], 'media_url': 'http://pbs.twimg.com/media/EYEeGZnWkAESIbI.png', 'media_url_https': 'https://pbs.twimg.com/media/EYEeGZnWkAESIbI.png', 'url': 'https://t.co/C5ABnmt7of', 'display_url': 'pic.twitter.com/C5ABnmt7of', 'expanded_url': 'https://twitter.com/business/status/1261322467932504066/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 527, 'h': 296, 'resize': 'fit'}, 'large': {'w': 527, 'h': 296, 'resize': 'fit'}, 'medium': {'w': 527, 'h': 296, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}, 'extended_entities': {'media': [{'id': 1261322465944440833, 'id_str': '1261322465944440833', 'indices': [142, 165], 'media_url': 'http://pbs.twimg.com/media/EYEeGZnWkAESIbI.png', 'media_url_https': 'https://pbs.twimg.com/media/EYEeGZnWkAESIbI.png', 'url': 'https://t.co/C5ABnmt7of', 'display_url': 'pic.twitter.com/C5ABnmt7of', 'expanded_url': 'https://twitter.com/business/status/1261322467932504066/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 527, 'h': 296, 'resize': 'fit'}, 'large': {'w': 527, 'h': 296, 'resize': 'fit'}, 'medium': {'w': 527, 'h': 296, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}}","[0, 140]",,
7,Fri May 15 15:44:50 +0000 2020,1261321650731134980,1261321650731134980,The huge glut of oil that's sitting on tankers shows signs of shrinking https://t.co/cOfWoczjHL,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,1,0,22,41,"{'hashtags': [], 'urls': [{'url': 'https://t.co/cOfWoczjHL', 'expanded_url': 'https://trib.al/rkjSnSQ', 'display_url': 'trib.al/rkjSnSQ', 'indices': [72, 95]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
8,Fri May 15 15:40:39 +0000 2020,1261320596601868289,1261320596601868289,LIVE: Gov. Cuomo is talking now about what it would take to reopen NYC https://t.co/cnFHcV0W2d https://t.co/ZR13aAeJTB,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,2,6,14,35,"{'hashtags': [], 'urls': [{'url': 'https://t.co/cnFHcV0W2d', 'expanded_url': 'https://trib.al/Zsf7LaJ', 'display_url': 'trib.al/Zsf7LaJ', 'indices': [71, 94]}], 'user_mentions': [], 'symbols': [], 'media': [{'id': 1261320594076958722, 'id_str': '1261320594076958722', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EYEcZcXXgAIVMSv.png', 'media_url_https': 'https://pbs.twimg.com/media/EYEcZcXXgAIVMSv.png', 'url': 'https://t.co/ZR13aAeJTB', 'display_url': 'pic.twitter.com/ZR13aAeJTB', 'expanded_url': 'https://twitter.com/business/status/1261320596601868289/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 326, 'resize': 'fit'}, 'large': {'w': 900, 'h': 431, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 431, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",False,False,False,low,en,[{'tag': None}],,"[0, 94]","{'media': [{'id': 1261320594076958722, 'id_str': '1261320594076958722', 'indices': [95, 118], 'media_url': 'http://pbs.twimg.com/media/EYEcZcXXgAIVMSv.png', 'media_url_https': 'https://pbs.twimg.com/media/EYEcZcXXgAIVMSv.png', 'url': 'https://t.co/ZR13aAeJTB', 'display_url': 'pic.twitter.com/ZR13aAeJTB', 'expanded_url': 'https://twitter.com/business/status/1261320596601868289/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 326, 'resize': 'fit'}, 'large': {'w': 900, 'h': 431, 'resize': 'fit'}, 'medium': {'w': 900, 'h': 431, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}",
9,Fri May 15 15:40:08 +0000 2020,1261320469023727616,1261320469023727616,All 44 charges filed under the U.K.'s Coronavirus Act during the first five weeks of lockdown have been withdrawn https://t.co/SrRK6aredN,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,3,1,12,27,"{'hashtags': [], 'urls': [{'url': 'https://t.co/SrRK6aredN', 'expanded_url': 'https://trib.al/uhwD6GW', 'display_url': 'trib.al/uhwD6GW', 'indices': [114, 137]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
10,Fri May 15 15:39:13 +0000 2020,1261320238001463296,1261320238001463296,Brazil lost its second health minister in a month https://t.co/JFcpVYakmG,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",False,,,,,,"{'id': 34713362, 'id_str': '34713362', 'name': 'Bloomberg', 'screen_name': 'business', 'location': 'New York and the World', 'url': 'http://www.bloomberg.com', 'description': 'The first word in business news.', 'translator_type': 'none', 'protected': False, 'verified': True, 'followers_count': 6381471, 'friends_count': 1286, 'listed_count': 54858, 'favourites_count': 534, 'statuses_count': 573442, 'created_at': 'Thu Apr 23 20:05:17 +0000 2009', 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'profile_background_color': '101112', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme9/bg.gif', 'profile_background_tile': True, 'profile_link_color': '3B94D9', 'profile_sidebar_border_color': 'DADADA', 'profile_sidebar_fill_color': 'EEEEEE', 'profile_text_color': '666666', 'profile_use_background_image': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/991818020233404416/alrBF_dr_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/34713362/1503349279', 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None}",,,,,False,47,33,213,405,"{'hashtags': [], 'urls': [{'url': 'https://t.co/JFcpVYakmG', 'expanded_url': 'https://trib.al/k5dYzAl', 'display_url': 'trib.al/k5dYzAl', 'indices': [50, 73]}], 'user_mentions': [], 'symbols': []}",False,False,False,low,en,[{'tag': None}],,,,
